mandal_name,also_known_as,area,address,latitude,longitude,place_id,coord_source,coord_precision,verification,qa_flag
Bamanwada Sarvajanik Ganeshotsav Mandal,,Andheri East,"Nya Chagla Marg, Bamanwada, Satya Nagar, Andheri East, Mumbai, Maharashtra 400099",19.1037352,72.8583854,ChIJt9ChnEnI5zsRKjlR3xaboGY,google_places,rooftop,verified,
Koldongri Shree Sarvajanik Ganeshotsav Mandal,Andheri Cha Morya,Andheri East,"Kanoji Angre Rd, Sai Wadi, Andheri East, Mumbai, Maharashtra 400069",19.1120801,72.8524842,ChIJl6cYWzPI5zsRQIssBJ5jx44,google_places,rooftop,verified,
Navsala Pavnara Andhericha Maharaja,,Andheri East,"1030, Professor NS Phadke Rd, opp. Teli Gali, Vijay Nagar, Andheri East, Mumbai, Maharashtra 400069",19.1148835,72.8502605,ChIJe3xyfwDJ5zsR0hHfwyNVr_A,google_places,rooftop,verified,
Andheri Cha Raja,Andhericha Raja; King of the western suburbs,Andheri West,"Veera Desai Rd, Azad Nagar, Andheri West, Mumbai, Maharashtra 400053",19.1298098,72.8365958,ChIJI5gaDQC35zsR9NyhzoUci9M,google_places,rooftop,verified,
Andhericha Mahaganpati,,Andheri West,"Ganesh Chowk, Shanti Nagar, D.N. Nagar, Andheri West, Mumbai, Maharashtra 400053",19.1241241,72.8309062,ChIJgca3B9_J5zsRIEKUrdo1PYs,google_places,rooftop,verified,
Ganpati Mandal SPDC,,Anushakti Nagar,"New Mandala, Anushakti Nagar, Mumbai, Maharashtra 400088",19.0381997,72.9296597,ChIJkZB2eQDF5zsR8EYo0VEzavE,google_places,rooftop,verified,
Bhandupcha Raja,,Bhandup West,"Quarry Rd, off LBS Marg, Ganesh Nagar, Bhandup West, Mumbai, Maharashtra 400078",19.1394243,72.9302036,ChIJ3R-xFwC55zsRolytCxjvWUU,google_places,rooftop,verified,
Pratap Nagarcha Raja,,Bhandup West,"Kombadi Galli, Pratap Nagar, Farid Nagar, Bhandup West, Mumbai, Maharashtra 400078",19.1408892,72.9232317,ChIJkaYlpnS45zsRJlhvRfnkmWw,google_places,rooftop,verified,
Bhoiwada Vibhag Sarvajanik Ganeshotsav Mandal,Bhoiwadyacha Maharaja,Bhoiwada,"Bhoiwada, Dadar East, Mumbai, Maharashtra 400012",19.0051559,72.8455893,ChIJrwvwh-PO5zsRC5hXitlesLA,google_places,rooftop,verified,
Ekta Mitra Sarvajanik Ganeshotsav Mandal,,Bhoiwada,"Jerbai Wadia Rd, Bhoiwada, Parel, Mumbai, Maharashtra 400012",19.0054962,72.8482661,ChIJZZLIAADP5zsRJcpt-896Wo8,google_places,rooftop,verified,
